flag	read_sites	enclosing_functions	what_it_gates	L_group	t2_levers_entry	roster_verdict	go_stack.sh	run_ours_task.sh	arms/viewmax2.env	set_in_live_chain
T2_A2_VARIANT	t2_scaffold_get.py:1946	_variant	raw = name if name is not None else os.environ.get("T2_A2_VARIANT")		DECLARATIVE		ledger,ratefix			yes
T2_ABSTAIN_FIELDS	t2_scaffold_get.py:3233	apply	if os.environ.get("T2_ABSTAIN_FIELDS") == "1" else {})	L8	CELLS	UNMEASURED	1			yes
T2_ACTIONREQ_GROUNDED	t2_gate_patch.py:10639	apply_unified_regen	_pa_on = os.environ.get("T2_ACTIONREQ_GROUNDED") == "1"				0	1		yes
T2_ACTION_CANDSET	t2_resolve.py:922	action_candidates	if os.environ.get("T2_ACTION_CANDSET", "1") != "1":				1			yes
T2_ACTION_DENY_CAP	t2_gate_patch.py:10489	apply_unified_regen	_adc = os.environ.get("T2_ACTION_DENY_CAP")							no
T2_ACTION_INDEX	t2_gate_patch.py:11591	apply_unified_regen	if (not _m3 and os.environ.get("T2_ACTION_INDEX") == "1"	L12		UNMEASURED				no
T2_ACTION_PROGRESS_REFUND	t2_gate_patch.py:14558	apply_unified_regen	if os.environ.get("T2_ACTION_PROGRESS_REFUND") == "1":		PARAMS		1			yes
T2_ACTION_SUB	t2_gate_patch.py:13457	apply_unified_regen	if (os.environ.get("T2_ACTION_SUB") == "1" and rw_fb	L12		NEAR_VALID(0 VALID)		1		yes
T2_ACT_DEMAND	t2_gate_patch.py:11395	apply_unified_regen	if os.environ.get("T2_ACT_DEMAND") == "1":			NEAR_VALID(0 VALID)				no
T2_AGENT_MAX_TOKENS	t2_gate_patch.py:4463;t2_run_gated.py:357;t2_run_gated.py:358;t2_run_gated.py:621	_ctx_fits;main	_gen = int(os.environ.get("T2_AGENT_MAX_TOKENS") or 8192)		HARNESS		8192	${T2_AGENT_MAX_TOKENS:-(미설정		yes
T2_ARBITRATE	t2_gate_patch.py:10789	apply_unified_regen	if os.environ.get("T2_ARBITRATE") == "1":	L13	META	UNMEASURED	1			yes
T2_ARG_AXIS	t2_gate_patch.py:12273	apply_unified_regen	if (en_fb is None and os.environ.get("T2_ARG_AXIS") == "1"			HARMFUL				no
T2_ARG_DOC_SUB	t2_scaffold_get.py:2891	apply	if (os.environ.get("T2_ARG_DOC_SUB") == "1"				1			yes
T2_ARG_EMPTY	t2_gate_patch.py:9018	apply_unified_regen	ae_on = (a2 is not None and os.environ.get("T2_ARG_EMPTY") == "1")	L1		UNMEASURED		1		yes
T2_ARG_LABEL	t2_gate_patch.py:1251	apply	label_on = os.environ.get("T2_ARG_LABEL") == "1"				1			yes
T2_ARG_POLICY_AT_WRITE	t2_gate_patch.py:12736	apply_unified_regen	if os.environ.get("T2_ARG_POLICY_AT_WRITE") == "1":				${T2_ARG_POLICY_AT_WRITE:-0}			yes
T2_ARG_POLICY_CAP	t2_gate_patch.py:751	_policy_rows_for	cap = int(os.environ.get("T2_ARG_POLICY_CAP", "4000"))				4000			yes
T2_ARG_PRODUCERS	t2_prekb_patch.py:600	apply	if os.environ.get("T2_ARG_PRODUCERS") == "1" and a2 is not None:	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_ARG_SCHEMA	t2_gate_patch.py:7316;t2_gate_patch.py:15891	apply_provenance_regen;apply_unified_regen	if os.environ.get("T2_ARG_SCHEMA") == "1" and getattr(am, "tool_calls", None):		CELLS		1			yes
T2_ASK_UNKNOWN_BOOL	t2_unknown_bool.py:41;t2_unknown_bool.py:195;t2_unknown_bool.py:247;t2_unknown_bool.py:249	enabled;selftest	return os.environ.get("T2_ASK_UNKNOWN_BOOL") == "1"			DARK				no
T2_AUTOFETCH	t2_gate_patch.py:1312	apply	extra = _autofetch_text(self, orig, gate, producer) if os.environ.get("T2_AUTOFETCH") == "1" else ""			HARMFUL				no
T2_AXIS_NOTE_CAP	t2_gate_patch.py:1616;t2_surface_bus.py:35	_axis_surface;class SurfaceBus	_cap_n = int(os.environ.get("T2_AXIS_NOTE_CAP", "2") or 2)							no
T2_BRANCH_REGROUND	t2_eplan_patch.py:1204;t2_gate_patch.py:9374	apply;apply_unified_regen	if os.environ.get("T2_BRANCH_REGROUND") == "1":	L11	CELLS	UNMEASURED	1			yes
T2_CALC	t2_gate_patch.py:1245;t2_gate_patch.py:8178	_install_regen_exec;apply	calc_specs = (a2.get("calc_specs") or []) if os.environ.get("T2_CALC") == "1" else []	L11		UNMEASURED				no
T2_CALLABLE_HINT	t2_callable_hint.py:31;t2_callable_hint.py:143;t2_callable_hint.py:165;t2_callable_hint.py:169	enabled;selftest	return os.environ.get("T2_CALLABLE_HINT") == "1"		CELLS	DARK	1			yes
T2_CALL_FORM	t2_gate_patch.py:10975	apply_unified_regen	if os.environ.get("T2_CALL_FORM") == "1":	L14		UNMEASURED		1		yes
T2_CALL_FORM_FIX	t2_gate_patch.py:10267	apply_unified_regen	if (os.environ.get("T2_CALL_FORM_FIX") == "1"				0			yes
T2_CARD_DOCS	t2_gate_patch.py:5753	_limit_reduce_text	if _dg and os.environ.get("T2_CARD_DOCS") == "1":				1			yes
T2_CATEGORY_CITE	t2_scaffold_get.py:2892;t2_scaffold_get.py:2994	apply	and os.environ.get("T2_CATEGORY_CITE") != "1"):				(empty)			yes
T2_CHOICE_GROUND	t2_gate_patch.py:15615	apply_unified_regen	if (os.environ.get("T2_CHOICE_GROUND") == "1" and getattr(am, "tool_calls", None)		CELLS	DARK	1			yes
T2_CLAIMPROV_CAP	t2_gate_patch.py:15310	apply_unified_regen	_cpv_cap = int(os.environ.get("T2_CLAIMPROV_CAP", "1") or 1)		PARAMS		3			yes
T2_CLAIM_BLOCK	t2_claim_block.py:37;t2_claim_block.py:86;t2_claim_block.py:111;t2_claim_block.py:113	enabled;selftest	return os.environ.get("T2_CLAIM_BLOCK") == "1"			DARK				no
T2_CLAIM_PROV	t2_gate_patch.py:15323	apply_unified_regen	if (os.environ.get("T2_CLAIM_PROV") == "1" and (_resign or _cpv_transfer)		CELLS	HARMFUL	1			yes
T2_CLAIM_VERIFY	t2_gate_patch.py:5309	_claim_verify_false	if os.environ.get("T2_CLAIM_VERIFY") != "1":			DARK	0			yes
T2_CONSISTENCY	t2_gate_patch.py:9457	apply_unified_regen	if (os.environ.get("T2_CONSISTENCY") == "1" and a2 is not None			DARK				no
